Year,Region,Indicator,Avg_Region
2012,East Asia & Pacific,Access to Agricultural Resources,54.6
2012,East Asia & Pacific,Access to Diversified Financial Services,50.0
2012,East Asia & Pacific,Access to Financial Services,67.9
2012,East Asia & Pacific,Adoptation of Innovative Technologies,19.0
2012,East Asia & Pacific,Agricultural GDP,75.7
2012,East Asia & Pacific,Agricultural Production Volatility,81.8
2012,East Asia & Pacific,Agricultural R&D,40.6
2012,East Asia & Pacific,Agricultural Trade,71.6
2012,East Asia & Pacific,Agricultural Water Quality,35.7
2012,East Asia & Pacific,Agricultural Water Quantity,46.4
2012,East Asia & Pacific,Agricultural Women Empowerment,14.3
2012,East Asia & Pacific,Armed Conflict,67.9
2012,East Asia & Pacific,Biodiversity and Habitat,37.4
2012,East Asia & Pacific,Community Organizations,89.3
2012,East Asia & Pacific,Corruption,35.7
2012,East Asia & Pacific,Crop Storage Facilities,35.7
2012,East Asia & Pacific,Dependency on Chronic Food Aid,57.1
2012,East Asia & Pacific,Disaster Risk Management,32.3
2012,East Asia & Pacific,Early Warning Measures,35.7
2012,East Asia & Pacific,Ecosystem Services,27.5
2012,East Asia & Pacific,Financial Capital,61.7
2012,East Asia & Pacific,Food Dietary Diversity,48.5
2012,East Asia & Pacific,Food Loss,80.1
2012,East Asia & Pacific,Food Price Volatility,64.1
2012,East Asia & Pacific,Food Safety,80.2
2012,East Asia & Pacific,Food Safety Net Programs,82.9
2012,East Asia & Pacific,Food Security Policy Commitment,32.3
2012,East Asia & Pacific,Food Supply Sufficiency,52.6
2012,East Asia & Pacific,Food Systems Resilience Score,57.7
2012,East Asia & Pacific,Forest Change,71.2
2012,East Asia & Pacific,Gender Equality,69.4
2012,East Asia & Pacific,Green House Emission Per Capita,51.3
2012,East Asia & Pacific,Human Capital,75.3
2012,East Asia & Pacific,Income Inequality,58.8
2012,East Asia & Pacific,Irrigation Infrastructure,36.5
2012,East Asia & Pacific,KOFGI Globalization Index,57.8
2012,East Asia & Pacific,Labor Force Participation Rate,65.9
2012,East Asia & Pacific,Land Degradation,61.3
2012,East Asia & Pacific,Literacy Rate,96.4
2012,East Asia & Pacific,Manufactured Capital,45.7
2012,East Asia & Pacific,Micronutrient Availability,61.6
2012,East Asia & Pacific,Natural Capital,44.2
2012,East Asia & Pacific,Natural Hazard Exposure,64.6
2012,East Asia & Pacific,Nutritional Standards,54.9
2012,East Asia & Pacific,Per Capita GDP,50.8
2012,East Asia & Pacific,Political Stability Risk,60.4
2012,East Asia & Pacific,Population Growth Rate,85.9
2012,East Asia & Pacific,Poverty Population,79.9
2012,East Asia & Pacific,Protein Quality,69.0
2012,East Asia & Pacific,Social Capital,56.4
2012,East Asia & Pacific,Soil Organic Content,43.9
2012,East Asia & Pacific,Supply Chain Infrastructure,52.5
2012,East Asia & Pacific,Sustainable Agriculture,32.1
2012,East Asia & Pacific,Telecommunications,52.1
2012,Europe & Central Asia,Access to Agricultural Resources,53.4
2012,Europe & Central Asia,Access to Diversified Financial Services,85.0
2012,Europe & Central Asia,Access to Financial Services,88.3
2012,Europe & Central Asia,Adoptation of Innovative Technologies,52.2
2012,Europe & Central Asia,Agricultural GDP,89.3
2012,Europe & Central Asia,Agricultural Production Volatility,61.2
2012,Europe & Central Asia,Agricultural R&D,37.5
2012,Europe & Central Asia,Agricultural Trade,72.6
2012,Europe & Central Asia,Agricultural Water Quality,70.0
2012,Europe & Central Asia,Agricultural Water Quantity,41.7
2012,Europe & Central Asia,Agricultural Women Empowerment,10.0
2012,Europe & Central Asia,Armed Conflict,86.7
2012,Europe & Central Asia,Biodiversity and Habitat,58.3
2012,Europe & Central Asia,Community Organizations,93.3
2012,Europe & Central Asia,Corruption,50.8
2012,Europe & Central Asia,Crop Storage Facilities,76.7
2012,Europe & Central Asia,Dependency on Chronic Food Aid,96.7
2012,Europe & Central Asia,Disaster Risk Management,35.3
2012,Europe & Central Asia,Early Warning Measures,80.0
2012,Europe & Central Asia,Ecosystem Services,37.3
2012,Europe & Central Asia,Financial Capital,75.8
2012,Europe & Central Asia,Food Dietary Diversity,61.1
2012,Europe & Central Asia,Food Loss,87.5
2012,Europe & Central Asia,Food Price Volatility,70.7
2012,Europe & Central Asia,Food Safety,95.4
2012,Europe & Central Asia,Food Safety Net Programs,95.8
2012,Europe & Central Asia,Food Security Policy Commitment,12.2
2012,Europe & Central Asia,Food Supply Sufficiency,83.6
2012,Europe & Central Asia,Food Systems Resilience Score,68.1
2012,Europe & Central Asia,Forest Change,77.7
2012,Europe & Central Asia,Gender Equality,82.0
2012,Europe & Central Asia,Green House Emission Per Capita,32.1
2012,Europe & Central Asia,Human Capital,80.2
2012,Europe & Central Asia,Income Inequality,71.6
2012,Europe & Central Asia,Irrigation Infrastructure,18.3
2012,Europe & Central Asia,KOFGI Globalization Index,73.2
2012,Europe & Central Asia,Labor Force Participation Rate,58.0
2012,Europe & Central Asia,Land Degradation,80.7
2012,Europe & Central Asia,Literacy Rate,98.7
2012,Europe & Central Asia,Manufactured Capital,61.9
2012,Europe & Central Asia,Micronutrient Availability,70.7
2012,Europe & Central Asia,Natural Capital,51.1
2012,Europe & Central Asia,Natural Hazard Exposure,67.9
